producer_task,consumer_task
CE-JBC-R09,CE-JBC-R10
CE-JBC-F14,CE-JBC-X01
CE-JBC-P10,CE-JBC-X01
CE-JBC-X01,CE-JBC-X02
CE-JBC-X02,CE-JBC-X03
CE-JBC-X03,CE-JBC-X04
CE-JBC-X04,CE-JBC-X05
CE-JBC-X05,CE-JBC-X06
CE-JBC-X06,CE-JBC-X07
CE-JBC-X07,CE-JBC-X08
CE-JBC-F14,CE-JBC-C01
CE-JBC-C01,CE-JBC-C02
CE-JBC-C02,CE-JBC-C03
CE-JBC-C03,CE-JBC-C04
CE-JBC-C04,CE-JBC-C05
CE-JBC-C05,CE-JBC-C06
CE-JBC-R10,CE-JBC-V01
CE-JBC-X08,CE-JBC-V01
CE-JBC-C06,CE-JBC-V01
CE-JBC-M10,CE-JBC-V01
CE-JBC-V01,CE-JBC-V02
CE-JBC-V02,CE-JBC-V03
CE-JBC-V03,CE-JBC-V04
CE-JBC-V04,CE-JBC-V05
CE-JBC-V05,CE-JBC-V06
CS-JBC-B01,CS-JBC-B02
CS-JBC-B02,CS-JBC-B03
CS-JBC-B03,CS-JBC-B04
CS-JBC-B04,CS-JBC-B05
CS-JBC-B05,CS-JBC-B06
CS-JBC-B06,CS-JBC-A01
CS-JBC-A01,CS-JBC-A02
CS-JBC-A02,CS-JBC-A03
CS-JBC-A03,CS-JBC-A04
CS-JBC-A04,CS-JBC-A05
CS-JBC-A05,CS-JBC-A06
CS-JBC-A06,CS-JBC-A07
CS-JBC-A07,CS-JBC-A08
CS-JBC-A08,CS-JBC-A09
CS-JBC-A09,CS-JBC-A10
CS-JBC-A10,CS-JBC-A11
CS-JBC-A11,CS-JBC-A12
CS-JBC-A12,CS-JBC-A13
CS-JBC-A13,CS-JBC-A14
CS-JBC-A14,CS-JBC-A15
CS-JBC-A15,CS-JBC-A16
CS-JBC-A16,CS-JBC-A17
CS-JBC-A17,CS-JBC-A18
CS-JBC-A18,CS-JBC-A19
CS-JBC-A19,CS-JBC-A20
CS-JBC-A20,CS-JBC-E01
CS-JBC-E01,CS-JBC-E02
CS-JBC-E02,CS-JBC-E03
CS-JBC-E03,CS-JBC-E04
CS-JBC-E04,CS-JBC-E05
CS-JBC-E05,CS-JBC-E06
CS-JBC-E06,CS-JBC-E07
CS-JBC-E07,CS-JBC-E08
CS-JBC-E08,CS-JBC-E09
CS-JBC-E09,CS-JBC-E10
CS-JBC-E10,CS-JBC-E11
CS-JBC-E11,CS-JBC-E12
CS-JBC-E12,CS-JBC-E13
CS-JBC-E13,CS-JBC-E14
CS-JBC-E14,CS-JBC-E15
CS-JBC-E15,CS-JBC-E16
CS-JBC-A20,CS-JBC-C01
CS-JBC-C01,CS-JBC-C02
CS-JBC-C02,CS-JBC-C03
CS-JBC-C03,CS-JBC-C04
CS-JBC-C04,CS-JBC-C05
CS-JBC-C05,CS-JBC-C06
CS-JBC-C06,CS-JBC-C07
CS-JBC-C07,CS-JBC-C08
CS-JBC-C08,CS-JBC-C09
CS-JBC-C09,CS-JBC-C10
CS-JBC-C10,CS-JBC-C11
CS-JBC-C11,CS-JBC-C12
CS-JBC-C12,CS-JBC-C13
CS-JBC-C13,CS-JBC-C14
CS-JBC-C14,CS-JBC-C15
CS-JBC-C15,CS-JBC-C16
CS-JBC-E16,CS-JBC-SS01
CS-JBC-C01,CS-JBC-SS01
CS-JBC-SS01,CS-JBC-SS02
CS-JBC-SS02,CS-JBC-SS03
CS-JBC-SS03,CS-JBC-SS04
CS-JBC-SS04,CS-JBC-SS05
CS-JBC-SS05,CS-JBC-SS06
CS-JBC-SS06,CS-JBC-SS07
CS-JBC-SS07,CS-JBC-SS08
CS-JBC-SS08,CS-JBC-SS09
CS-JBC-SS09,CS-JBC-SS10
CS-JBC-E16,CS-JBC-CO01
CS-JBC-C01,CS-JBC-CO01
CS-JBC-CO01,CS-JBC-CO02
CS-JBC-CO02,CS-JBC-CO03
CS-JBC-CO03,CS-JBC-CO04
CS-JBC-CO04,CS-JBC-CO05
CS-JBC-CO05,CS-JBC-CO06
CS-JBC-CO06,CS-JBC-CO07
CS-JBC-CO07,CS-JBC-CO08
CS-JBC-CO08,CS-JBC-CO09
CS-JBC-CO09,CS-JBC-CO10
CS-JBC-E16,CS-JBC-BC01
CS-JBC-C01,CS-JBC-BC01
CS-JBC-BC01,CS-JBC-BC02
CS-JBC-BC02,CS-JBC-BC03
CS-JBC-BC03,CS-JBC-BC04
CS-JBC-BC04,CS-JBC-BC05
CS-JBC-BC05,CS-JBC-BC06
CS-JBC-BC06,CS-JBC-BC07
CS-JBC-BC07,CS-JBC-BC08
CS-JBC-E16,CS-JBC-OC01
CS-JBC-C01,CS-JBC-OC01
CS-JBC-OC01,CS-JBC-OC02
CS-JBC-OC02,CS-JBC-OC03
CS-JBC-OC03,CS-JBC-OC04
CS-JBC-OC04,CS-JBC-OC05
CS-JBC-OC05,CS-JBC-OC06
CS-JBC-E16,CS-JBC-MF01
CS-JBC-C01,CS-JBC-MF01
CS-JBC-MF01,CS-JBC-MF02
CS-JBC-MF02,CS-JBC-MF03
CS-JBC-MF03,CS-JBC-MF04
CS-JBC-MF04,CS-JBC-MF05
CS-JBC-MF05,CS-JBC-MF06
CS-JBC-MF06,CS-JBC-MF07
CS-JBC-MF07,CS-JBC-MF08
CS-JBC-E16,CS-JBC-FT01
CS-JBC-C01,CS-JBC-FT01
CS-JBC-FT01,CS-JBC-FT02
CS-JBC-FT02,CS-JBC-FT03
CS-JBC-FT03,CS-JBC-FT04
CS-JBC-FT04,CS-JBC-FT05
CS-JBC-FT05,CS-JBC-FT06
CS-JBC-E16,CS-JBC-TR01
CS-JBC-C01,CS-JBC-TR01
CS-JBC-TR01,CS-JBC-TR02
CS-JBC-TR02,CS-JBC-TR03
CS-JBC-TR03,CS-JBC-TR04
CS-JBC-TR04,CS-JBC-TR05
CS-JBC-TR05,CS-JBC-TR06
CS-JBC-TR06,CS-JBC-TR07
CS-JBC-TR07,CS-JBC-TR08
CS-JBC-TR08,CS-JBC-TR09
CS-JBC-TR09,CS-JBC-TR10
CS-JBC-TR10,CS-JBC-TR11
CS-JBC-TR11,CS-JBC-TR12
CS-JBC-E16,CS-JBC-MM01
CS-JBC-C01,CS-JBC-MM01
CS-JBC-MM01,CS-JBC-MM02
CS-JBC-MM02,CS-JBC-MM03
CS-JBC-MM03,CS-JBC-MM04
CS-JBC-MM04,CS-JBC-MM05
CS-JBC-MM05,CS-JBC-MM06
CS-JBC-MM06,CS-JBC-MM07
CS-JBC-MM07,CS-JBC-MM08
CS-JBC-MM08,CS-JBC-MM09
CS-JBC-MM09,CS-JBC-MM10
CS-JBC-A20,CS-JBC-SQ01
CS-JBC-SQ01,CS-JBC-SQ02
CS-JBC-SQ02,CS-JBC-SQ03
CS-JBC-SQ03,CS-JBC-SQ04
CS-JBC-SQ04,CS-JBC-SQ05
CS-JBC-SQ05,CS-JBC-SQ06
CS-JBC-E16,CS-JBC-OT01
CS-JBC-C01,CS-JBC-OT01
CS-JBC-OT01,CS-JBC-OT02
CS-JBC-OT02,CS-JBC-OT03
CS-JBC-OT03,CS-JBC-OT04
CS-JBC-OT04,CS-JBC-OT05
CS-JBC-OT05,CS-JBC-OT06
CS-JBC-OT06,CS-JBC-OT07
CS-JBC-OT07,CS-JBC-OT08
CS-JBC-C16,CS-JBC-O01
CS-JBC-O01,CS-JBC-O02
CS-JBC-O02,CS-JBC-O03
CS-JBC-O03,CS-JBC-O04
CS-JBC-O04,CS-JBC-O05
CS-JBC-O05,CS-JBC-O06
CS-JBC-O06,CS-JBC-O07
CS-JBC-O07,CS-JBC-O08
CS-JBC-O08,CS-JBC-O09
CS-JBC-O09,CS-JBC-O10
CS-JBC-O10,CS-JBC-O11
CS-JBC-O11,CS-JBC-O12
CS-JBC-O12,CS-JBC-O13
CS-JBC-O13,CS-JBC-O14
CS-JBC-O14,CS-JBC-O15
CS-JBC-O15,CS-JBC-O16
CS-JBC-O16,CS-JBC-O17
CS-JBC-O17,CS-JBC-O18
CS-JBC-O18,CS-JBC-O19
CS-JBC-O19,CS-JBC-O20
CS-JBC-O20,CS-JBC-O21
CS-JBC-O21,CS-JBC-O22
CS-JBC-O22,CS-JBC-O23
CS-JBC-O23,CS-JBC-O24
CS-JBC-O24,CS-JBC-G01
CS-JBC-G01,CS-JBC-G02
CS-JBC-G02,CS-JBC-G03
CS-JBC-G03,CS-JBC-G04
CS-JBC-G04,CS-JBC-G05
CS-JBC-G05,CS-JBC-G06
CS-JBC-G06,CS-JBC-G07
CS-JBC-G07,CS-JBC-G08
CS-JBC-G08,CS-JBC-G09
CS-JBC-G09,CS-JBC-G10
CS-JBC-G10,CS-JBC-IG01
CS-JBC-OT08,CS-JBC-IG01
CS-JBC-IG01,CS-JBC-IG02
CS-JBC-IG02,CS-JBC-IG03
CS-JBC-IG03,CS-JBC-IG04
CS-JBC-IG04,CS-JBC-IG05
CS-JBC-IG05,CS-JBC-IG06
CS-JBC-IG06,CS-JBC-IG07
CS-JBC-IG07,CS-JBC-IG08
CS-JBC-IG08,CS-JBC-IG09
CS-JBC-IG09,CS-JBC-IG10
CS-JBC-O24,CS-JBC-BS01
CS-JBC-C16,CS-JBC-BS01
CS-JBC-BS01,CS-JBC-BS02
CS-JBC-BS02,CS-JBC-BS03
CS-JBC-BS03,CS-JBC-BS04
CS-JBC-BS04,CS-JBC-BS05
CS-JBC-BS05,CS-JBC-BS06
CS-JBC-BS06,CS-JBC-BS07
CS-JBC-BS07,CS-JBC-BS08
CS-JBC-BS08,CS-JBC-BS09
CS-JBC-BS09,CS-JBC-BS10
CS-JBC-BS10,CS-JBC-BS11
CS-JBC-BS11,CS-JBC-BS12
CS-JBC-BS12,CS-JBC-BS13
CS-JBC-BS13,CS-JBC-BS14
CS-JBC-BS14,CS-JBC-BS15
CS-JBC-BS15,CS-JBC-BS16
CS-JBC-BS16,CS-JBC-BS17
CS-JBC-BS17,CS-JBC-BS18
CS-JBC-G10,CS-JBC-SA01
CS-JBC-BS18,CS-JBC-SA01
CS-JBC-SA01,CS-JBC-SA02
CS-JBC-SA02,CS-JBC-SA03
CS-JBC-SA03,CS-JBC-SA04
CS-JBC-SA04,CS-JBC-SA05
CS-JBC-SA05,CS-JBC-SA06
CS-JBC-SA06,CS-JBC-SA07
CS-JBC-SA07,CS-JBC-SA08
CS-JBC-A20,CS-JBC-PP01
CS-JBC-PP01,CS-JBC-PP02
CS-JBC-PP02,CS-JBC-PP03
CS-JBC-PP03,CS-JBC-PP04
CS-JBC-PP04,CS-JBC-PP05
CS-JBC-PP05,CS-JBC-PP06
CS-JBC-PP06,CS-JBC-PP07
CS-JBC-PP07,CS-JBC-PP08
CS-JBC-PP08,CS-JBC-PP09
CS-JBC-PP09,CS-JBC-PP10
CS-JBC-PP10,CS-JBC-PP11
CS-JBC-PP11,CS-JBC-PP12
CS-JBC-PP12,CS-JBC-PP13
CS-JBC-PP13,CS-JBC-PP14
CS-JBC-PP14,CS-JBC-PP15
CS-JBC-PP15,CS-JBC-PP16
CS-JBC-PP16,CS-JBC-PP17
CS-JBC-PP17,CS-JBC-PP18
CS-JBC-A20,CS-JBC-ST01
CS-JBC-O02,CS-JBC-ST01
CS-JBC-ST01,CS-JBC-ST02
CS-JBC-ST02,CS-JBC-ST03
CS-JBC-ST03,CS-JBC-ST04
CS-JBC-ST04,CS-JBC-ST05
CS-JBC-ST05,CS-JBC-ST06
CS-JBC-ST06,CS-JBC-ST07
CS-JBC-ST07,CS-JBC-ST08
CS-JBC-ST08,CS-JBC-ST09
CS-JBC-ST09,CS-JBC-ST10
CS-JBC-ST10,CS-JBC-ST11
CS-JBC-ST11,CS-JBC-ST12
CS-JBC-ST12,CS-JBC-ST13
CS-JBC-ST13,CS-JBC-ST14
CS-JBC-ST14,CS-JBC-ST15
CS-JBC-ST15,CS-JBC-ST16
CS-JBC-ST16,CS-JBC-ST17
CS-JBC-ST17,CS-JBC-ST18
CS-JBC-ST18,CS-JBC-ST19
CS-JBC-ST19,CS-JBC-ST20
CS-JBC-ST20,CS-JBC-ST21
CS-JBC-ST21,CS-JBC-ST22
CS-JBC-ST22,CS-JBC-ST23
CS-JBC-ST23,CS-JBC-ST24
CS-JBC-ST24,CS-JBC-ST25
CS-JBC-ST25,CS-JBC-ST26
CS-JBC-ST26,CS-JBC-ST27
CS-JBC-ST27,CS-JBC-ST28
CS-JBC-ST28,CS-JBC-ST29
CS-JBC-BS04,CS-JBC-Q01
CS-JBC-Q01,CS-JBC-Q02
CS-JBC-Q02,CS-JBC-Q03
CS-JBC-Q03,CS-JBC-Q04
CS-JBC-Q04,CS-JBC-Q05
CS-JBC-Q05,CS-JBC-Q06
CS-JBC-Q06,CS-JBC-Q07
CS-JBC-Q07,CS-JBC-Q08
CS-JBC-Q08,CS-JBC-Q09
CS-JBC-Q09,CS-JBC-Q10
CS-JBC-Q10,CS-JBC-Q11
CS-JBC-Q11,CS-JBC-Q12
CS-JBC-Q12,CS-JBC-Q13
CS-JBC-Q13,CS-JBC-Q14
CS-JBC-Q14,CS-JBC-RT01
CS-JBC-ST20,CS-JBC-RT01
CS-JBC-RT01,CS-JBC-RT02
CS-JBC-RT02,CS-JBC-RT03
CS-JBC-RT03,CS-JBC-RT04
CS-JBC-RT04,CS-JBC-RT05
CS-JBC-RT05,CS-JBC-RT06
CS-JBC-RT06,CS-JBC-RT07
CS-JBC-RT07,CS-JBC-RT08
CS-JBC-RT08,CS-JBC-RT09
CS-JBC-RT09,CS-JBC-RT10
CS-JBC-RT10,CS-JBC-RT11
CS-JBC-RT11,CS-JBC-RT12
CS-JBC-RT12,CS-JBC-RT13
CS-JBC-RT13,CS-JBC-RT14
CS-JBC-RT14,CS-JBC-RT15
CS-JBC-RT15,CS-JBC-RT16
CS-JBC-RT16,CS-JBC-RT17
CS-JBC-RT17,CS-JBC-RT18
CS-JBC-RT18,CS-JBC-RT19
CS-JBC-RT19,CS-JBC-RT20
CS-JBC-RT20,CS-JBC-RT21
CS-JBC-RT21,CS-JBC-RT22
CS-JBC-RT22,CS-JBC-V01
CS-JBC-ST29,CS-JBC-V01
CS-JBC-BS18,CS-JBC-V01
CS-JBC-IG10,CS-JBC-V01
CS-JBC-V01,CS-JBC-V02
CS-JBC-V02,CS-JBC-V03
CS-JBC-V03,CS-JBC-V04
CS-JBC-V04,CS-JBC-V05
CS-JBC-V05,CS-JBC-V06
CS-JBC-V06,CS-JBC-V07
CS-JBC-V07,CS-JBC-V08
CS-JBC-V08,CS-JBC-V09
CS-JBC-V09,CS-JBC-V10
CS-JBC-V10,CS-JBC-V11
CS-JBC-V11,CS-JBC-V12
CS-JBC-V12,CS-JBC-V13
CS-JBC-V13,CS-JBC-V14
CS-JBC-V14,CS-JBC-V15
CS-JBC-V15,CS-JBC-V16
CS-JBC-V16,CS-JBC-V17
CS-JBC-V17,CS-JBC-V18
CS-JBC-V18,CS-JBC-V19
CS-JBC-V19,CS-JBC-V20
