source_task_id,target_task_id,dependency_kind,source_checkpoint_id,required_state
CE-CCP1-B02-008,CE-CCP1-B02-009,task,,done
CE-CCP1-B02-009,CE-CCP1-B02-010,task,,done
CE-CCP1-B02-010,CE-CCP1-B02-011,task,,done
CE-CCP1-B02-011,CE-CCP1-B02-012,task,,done
CE-CCP1-B02-012,CE-CCP1-B02-013,task,,done
CE-CCP1-B02-013,CE-CCP1-B02-014,task,,done
CE-CCP1-B01-012,CE-CCP1-B02-014,checkpoint:CE-CCP1-CP-B01,CE-CCP1-CP-B01,reached
CE-CCP1-M00,CE-CCP1-B03-000,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M00,CE-CCP1-B03-001,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-B03-001,CE-CCP1-B03-002,task,,done
CE-CCP1-B03-002,CE-CCP1-B03-003,task,,done
CE-CCP1-B03-003,CE-CCP1-B03-004,task,,done
CE-CCP1-B03-004,CE-CCP1-B03-005,task,,done
CE-CCP1-B03-005,CE-CCP1-B03-006,task,,done
CE-CCP1-B03-006,CE-CCP1-B03-007,task,,done
CE-CCP1-B03-007,CE-CCP1-B03-008,task,,done
CE-CCP1-B03-008,CE-CCP1-B03-009,task,,done
CE-CCP1-B03-009,CE-CCP1-B03-010,task,,done
CE-CCP1-B03-010,CE-CCP1-B03-011,task,,done
CE-CCP1-B03-011,CE-CCP1-B03-012,task,,done
CE-CCP1-B03-012,CE-CCP1-B03-013,task,,done
CE-CCP1-B03-013,CE-CCP1-B03-014,task,,done
CE-CCP1-B03-014,CE-CCP1-B03-015,task,,done
CE-CCP1-B01-012,CE-CCP1-B03-015,checkpoint:CE-CCP1-CP-B01,CE-CCP1-CP-B01,reached
CE-CCP1-M00,CE-CCP1-B04-000,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M00,CE-CCP1-B04-001,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-B04-001,CE-CCP1-B04-002,task,,done
CE-CCP1-B04-002,CE-CCP1-B04-003,task,,done
CE-CCP1-B04-003,CE-CCP1-B04-004,task,,done
CE-CCP1-B04-004,CE-CCP1-B04-005,task,,done
CE-CCP1-B04-005,CE-CCP1-B04-006,task,,done
CE-CCP1-B04-006,CE-CCP1-B04-007,task,,done
CE-CCP1-B04-007,CE-CCP1-B04-008,task,,done
CE-CCP1-B04-008,CE-CCP1-B04-009,task,,done
CE-CCP1-B04-009,CE-CCP1-B04-010,task,,done
CE-CCP1-B04-010,CE-CCP1-B04-011,task,,done
CE-CCP1-B04-011,CE-CCP1-B04-012,task,,done
CE-CCP1-B04-012,CE-CCP1-B04-013,task,,done
CE-CCP1-B04-013,CE-CCP1-B04-014,task,,done
CE-CCP1-B02-014,CE-CCP1-B04-014,checkpoint:CE-CCP1-CP-B02,CE-CCP1-CP-B02,reached
CE-CCP1-B03-015,CE-CCP1-B04-014,checkpoint:CE-CCP1-CP-B03,CE-CCP1-CP-B03,reached
CE-CCP1-M10,CE-CCP1-C01-000,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M10,CE-CCP1-C01-001,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-C01-001,CE-CCP1-C01-002,task,,done
CE-CCP1-C01-002,CE-CCP1-C01-003,task,,done
CE-CCP1-C01-003,CE-CCP1-C01-004,task,,done
CE-CCP1-C01-004,CE-CCP1-C01-005,task,,done
CE-CCP1-C01-005,CE-CCP1-C01-006,task,,done
CE-CCP1-C01-006,CE-CCP1-C01-007,task,,done
CE-CCP1-C01-007,CE-CCP1-C01-008,task,,done
CE-CCP1-C01-008,CE-CCP1-C01-009,task,,done
CE-CCP1-C01-009,CE-CCP1-C01-010,task,,done
CE-CCP1-C01-010,CE-CCP1-C01-011,task,,done
CE-CCP1-C01-011,CE-CCP1-C01-012,task,,done
CE-CCP1-C01-012,CE-CCP1-C01-013,task,,done
CE-CCP1-C01-013,CE-CCP1-C01-014,task,,done
CE-CCP1-C01-014,CE-CCP1-C01-015,task,,done
CE-CCP1-C01-015,CE-CCP1-C01-016,task,,done
CE-CCP1-B03-015,CE-CCP1-C01-016,checkpoint:CE-CCP1-CP-B03,CE-CCP1-CP-B03,reached
CE-CCP1-M10,CE-CCP1-C02-000,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M10,CE-CCP1-C02-001,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-C02-001,CE-CCP1-C02-002,task,,done
CE-CCP1-C02-002,CE-CCP1-C02-003,task,,done
CE-CCP1-C02-003,CE-CCP1-C02-004,task,,done
CE-CCP1-C02-004,CE-CCP1-C02-005,task,,done
CE-CCP1-C02-005,CE-CCP1-C02-006,task,,done
CE-CCP1-C02-006,CE-CCP1-C02-007,task,,done
CE-CCP1-C02-007,CE-CCP1-C02-008,task,,done
CE-CCP1-C02-008,CE-CCP1-C02-009,task,,done
CE-CCP1-C02-009,CE-CCP1-C02-010,task,,done
CE-CCP1-C02-010,CE-CCP1-C02-011,task,,done
CE-CCP1-C02-011,CE-CCP1-C02-012,task,,done
CE-CCP1-B03-015,CE-CCP1-C02-012,checkpoint:CE-CCP1-CP-B03,CE-CCP1-CP-B03,reached
CE-CCP1-B04-014,CE-CCP1-C02-012,checkpoint:CE-CCP1-CP-B04,CE-CCP1-CP-B04,reached
CE-CCP1-C01-016,CE-CCP1-C02-012,checkpoint:CE-CCP1-CP-C01,CE-CCP1-CP-C01,reached
CE-CCP1-M10,CE-CCP1-C03-000,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M10,CE-CCP1-C03-001,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-C03-001,CE-CCP1-C03-002,task,,done
CE-CCP1-C03-002,CE-CCP1-C03-003,task,,done
CE-CCP1-C03-003,CE-CCP1-C03-004,task,,done
CE-CCP1-C03-004,CE-CCP1-C03-005,task,,done
CE-CCP1-C03-005,CE-CCP1-C03-006,task,,done
CE-CCP1-C03-006,CE-CCP1-C03-007,task,,done
CE-CCP1-C03-007,CE-CCP1-C03-008,task,,done
CE-CCP1-C03-008,CE-CCP1-C03-009,task,,done
CE-CCP1-C03-009,CE-CCP1-C03-010,task,,done
CE-CCP1-C03-010,CE-CCP1-C03-011,task,,done
CE-CCP1-C03-011,CE-CCP1-C03-012,task,,done
CE-CCP1-C03-012,CE-CCP1-C03-013,task,,done
CE-CCP1-C03-013,CE-CCP1-C03-014,task,,done
CE-CCP1-C03-014,CE-CCP1-C03-015,task,,done
CE-CCP1-C03-015,CE-CCP1-C03-016,task,,done
CE-CCP1-B04-014,CE-CCP1-C03-016,checkpoint:CE-CCP1-CP-B04,CE-CCP1-CP-B04,reached
CE-CCP1-C02-012,CE-CCP1-C03-016,checkpoint:CE-CCP1-CP-C02,CE-CCP1-CP-C02,reached
CE-CCP1-M10,CE-CCP1-C04-000,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M10,CE-CCP1-C04-001,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-C04-001,CE-CCP1-C04-002,task,,done
CE-CCP1-C04-002,CE-CCP1-C04-003,task,,done
CE-CCP1-C04-003,CE-CCP1-C04-004,task,,done
CE-CCP1-C04-004,CE-CCP1-C04-005,task,,done
CE-CCP1-C04-005,CE-CCP1-C04-006,task,,done
CE-CCP1-C04-006,CE-CCP1-C04-007,task,,done
CE-CCP1-C04-007,CE-CCP1-C04-008,task,,done
CE-CCP1-C04-008,CE-CCP1-C04-009,task,,done
CE-CCP1-C04-009,CE-CCP1-C04-010,task,,done
CE-CCP1-C04-010,CE-CCP1-C04-011,task,,done
CE-CCP1-C04-011,CE-CCP1-C04-012,task,,done
CE-CCP1-C04-012,CE-CCP1-C04-013,task,,done
CE-CCP1-C04-013,CE-CCP1-C04-014,task,,done
CE-CCP1-C04-014,CE-CCP1-C04-015,task,,done
CE-CCP1-C04-015,CE-CCP1-C04-016,task,,done
CE-CCP1-C03-016,CE-CCP1-C04-016,checkpoint:CE-CCP1-CP-C03,CE-CCP1-CP-C03,reached
CE-CCP1-M10,CE-CCP1-D01-000,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M10,CE-CCP1-D01-001,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-D01-001,CE-CCP1-D01-002,task,,done
CE-CCP1-D01-002,CE-CCP1-D01-003,task,,done
CE-CCP1-D01-003,CE-CCP1-D01-004,task,,done
CE-CCP1-D01-004,CE-CCP1-D01-005,task,,done
CE-CCP1-D01-005,CE-CCP1-D01-006,task,,done
CE-CCP1-D01-006,CE-CCP1-D01-007,task,,done
CE-CCP1-D01-007,CE-CCP1-D01-008,task,,done
CE-CCP1-D01-008,CE-CCP1-D01-009,task,,done
CE-CCP1-D01-009,CE-CCP1-D01-010,task,,done
CE-CCP1-D01-010,CE-CCP1-D01-011,task,,done
CE-CCP1-D01-011,CE-CCP1-D01-012,task,,done
CE-CCP1-D01-012,CE-CCP1-D01-013,task,,done
CE-CCP1-D01-013,CE-CCP1-D01-014,task,,done
CE-CCP1-B01-012,CE-CCP1-D01-014,checkpoint:CE-CCP1-CP-B01,CE-CCP1-CP-B01,reached
CE-CCP1-M20,CE-CCP1-D02-000,checkpoint:CE-CCP1-MILESTONE-M20,CE-CCP1-MILESTONE-M20,reached
CE-CCP1-M20,CE-CCP1-D02-001,checkpoint:CE-CCP1-MILESTONE-M20,CE-CCP1-MILESTONE-M20,reached
CE-CCP1-D02-001,CE-CCP1-D02-002,task,,done
CE-CCP1-D02-002,CE-CCP1-D02-003,task,,done
CE-CCP1-D02-003,CE-CCP1-D02-004,task,,done
CE-CCP1-D02-004,CE-CCP1-D02-005,task,,done
CE-CCP1-D02-005,CE-CCP1-D02-006,task,,done
CE-CCP1-D02-006,CE-CCP1-D02-007,task,,done
CE-CCP1-D02-007,CE-CCP1-D02-008,task,,done
CE-CCP1-D02-008,CE-CCP1-D02-009,task,,done
CE-CCP1-D02-009,CE-CCP1-D02-010,task,,done
CE-CCP1-D02-010,CE-CCP1-D02-011,task,,done
CE-CCP1-D02-011,CE-CCP1-D02-012,task,,done
CE-CCP1-D02-012,CE-CCP1-D02-013,task,,done
CE-CCP1-D02-013,CE-CCP1-D02-014,task,,done
CE-CCP1-D02-014,CE-CCP1-D02-015,task,,done
CE-CCP1-D02-015,CE-CCP1-D02-016,task,,done
CE-CCP1-C04-016,CE-CCP1-D02-016,checkpoint:CE-CCP1-CP-C04,CE-CCP1-CP-C04,reached
CE-CCP1-D01-014,CE-CCP1-D02-016,checkpoint:CE-CCP1-CP-D01,CE-CCP1-CP-D01,reached
CE-CCP1-M20,CE-CCP1-D03-000,checkpoint:CE-CCP1-MILESTONE-M20,CE-CCP1-MILESTONE-M20,reached
CE-CCP1-M20,CE-CCP1-D03-001,checkpoint:CE-CCP1-MILESTONE-M20,CE-CCP1-MILESTONE-M20,reached
CE-CCP1-D03-001,CE-CCP1-D03-002,task,,done
CE-CCP1-D03-002,CE-CCP1-D03-003,task,,done
CE-CCP1-D03-003,CE-CCP1-D03-004,task,,done
CE-CCP1-D03-004,CE-CCP1-D03-005,task,,done
CE-CCP1-D03-005,CE-CCP1-D03-006,task,,done
CE-CCP1-D03-006,CE-CCP1-D03-007,task,,done
CE-CCP1-D03-007,CE-CCP1-D03-008,task,,done
CE-CCP1-D03-008,CE-CCP1-D03-009,task,,done
CE-CCP1-D03-009,CE-CCP1-D03-010,task,,done
CE-CCP1-D03-010,CE-CCP1-D03-011,task,,done
CE-CCP1-D03-011,CE-CCP1-D03-012,task,,done
CE-CCP1-D03-012,CE-CCP1-D03-013,task,,done
CE-CCP1-D03-013,CE-CCP1-D03-014,task,,done
CE-CCP1-D03-014,CE-CCP1-D03-015,task,,done
CE-CCP1-D02-016,CE-CCP1-D03-015,checkpoint:CE-CCP1-CP-D02,CE-CCP1-CP-D02,reached
CE-CCP1-M30,CE-CCP1-E01-000,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-M30,CE-CCP1-E01-001,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-E01-001,CE-CCP1-E01-002,task,,done
CE-CCP1-E01-002,CE-CCP1-E01-003,task,,done
CE-CCP1-E01-003,CE-CCP1-E01-004,task,,done
CE-CCP1-E01-004,CE-CCP1-E01-005,task,,done
CE-CCP1-E01-005,CE-CCP1-E01-006,task,,done
CE-CCP1-E01-006,CE-CCP1-E01-007,task,,done
CE-CCP1-E01-007,CE-CCP1-E01-008,task,,done
CE-CCP1-E01-008,CE-CCP1-E01-009,task,,done
CE-CCP1-E01-009,CE-CCP1-E01-010,task,,done
CE-CCP1-E01-010,CE-CCP1-E01-011,task,,done
CE-CCP1-E01-011,CE-CCP1-E01-012,task,,done
CE-CCP1-E01-012,CE-CCP1-E01-013,task,,done
CE-CCP1-E01-013,CE-CCP1-E01-014,task,,done
CE-CCP1-E01-014,CE-CCP1-E01-015,task,,done
CE-CCP1-E01-015,CE-CCP1-E01-016,task,,done
CE-CCP1-D02-016,CE-CCP1-E01-016,checkpoint:CE-CCP1-CP-D02,CE-CCP1-CP-D02,reached
CE-CCP1-D03-015,CE-CCP1-E01-016,checkpoint:CE-CCP1-CP-D03,CE-CCP1-CP-D03,reached
CE-CCP1-M00,CE-CCP1-E02-000,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M30,CE-CCP1-E02-000,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-M00,CE-CCP1-E02-001,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M30,CE-CCP1-E02-001,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-E02-001,CE-CCP1-E02-002,task,,done
CE-CCP1-E02-002,CE-CCP1-E02-003,task,,done
CE-CCP1-E02-003,CE-CCP1-E02-004,task,,done
CE-CCP1-E02-004,CE-CCP1-E02-005,task,,done
CE-CCP1-E02-005,CE-CCP1-E02-006,task,,done
CE-CCP1-E02-006,CE-CCP1-E02-007,task,,done
CE-CCP1-E02-007,CE-CCP1-E02-008,task,,done
CE-CCP1-E02-008,CE-CCP1-E02-009,task,,done
CE-CCP1-E02-009,CE-CCP1-E02-010,task,,done
CE-CCP1-E02-010,CE-CCP1-E02-011,task,,done
CE-CCP1-E02-011,CE-CCP1-E02-012,task,,done
CE-CCP1-E02-012,CE-CCP1-E02-013,task,,done
CE-CCP1-E02-013,CE-CCP1-E02-014,task,,done
CE-CCP1-E02-014,CE-CCP1-E02-015,task,,done
CE-CCP1-E02-015,CE-CCP1-E02-016,task,,done
CE-CCP1-E02-016,CE-CCP1-E02-017,task,,done
CE-CCP1-E02-017,CE-CCP1-E02-018,task,,done
CE-CCP1-A02-012,CE-CCP1-E02-018,checkpoint:CE-CCP1-CP-A02,CE-CCP1-CP-A02,reached
CE-CCP1-D03-015,CE-CCP1-E02-018,checkpoint:CE-CCP1-CP-D03,CE-CCP1-CP-D03,reached
CE-CCP1-E01-016,CE-CCP1-E02-018,checkpoint:CE-CCP1-CP-E01,CE-CCP1-CP-E01,reached
CE-CCP1-M00,CE-CCP1-E03-000,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M30,CE-CCP1-E03-000,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-M00,CE-CCP1-E03-001,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M30,CE-CCP1-E03-001,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-E03-001,CE-CCP1-E03-002,task,,done
CE-CCP1-E03-002,CE-CCP1-E03-003,task,,done
CE-CCP1-E03-003,CE-CCP1-E03-004,task,,done
CE-CCP1-E03-004,CE-CCP1-E03-005,task,,done
CE-CCP1-E03-005,CE-CCP1-E03-006,task,,done
CE-CCP1-E03-006,CE-CCP1-E03-007,task,,done
CE-CCP1-E03-007,CE-CCP1-E03-008,task,,done
CE-CCP1-E03-008,CE-CCP1-E03-009,task,,done
CE-CCP1-E03-009,CE-CCP1-E03-010,task,,done
CE-CCP1-E03-010,CE-CCP1-E03-011,task,,done
CE-CCP1-E03-011,CE-CCP1-E03-012,task,,done
CE-CCP1-E03-012,CE-CCP1-E03-013,task,,done
CE-CCP1-E03-013,CE-CCP1-E03-014,task,,done
CE-CCP1-E03-014,CE-CCP1-E03-015,task,,done
CE-CCP1-E03-015,CE-CCP1-E03-016,task,,done
CE-CCP1-E03-016,CE-CCP1-E03-017,task,,done
CE-CCP1-E03-017,CE-CCP1-E03-018,task,,done
CE-CCP1-E02-018,CE-CCP1-E03-018,checkpoint:CE-CCP1-CP-E02,CE-CCP1-CP-E02,reached
CE-CCP1-E01-016,CE-CCP1-E03-018,checkpoint:CE-CCP1-CP-E01,CE-CCP1-CP-E01,reached
CE-CCP1-M30,CE-CCP1-E04-000,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-M30,CE-CCP1-E04-001,checkpoint:CE-CCP1-MILESTONE-M30,CE-CCP1-MILESTONE-M30,reached
CE-CCP1-E04-001,CE-CCP1-E04-002,task,,done
CE-CCP1-E04-002,CE-CCP1-E04-003,task,,done
CE-CCP1-E04-003,CE-CCP1-E04-004,task,,done
CE-CCP1-E04-004,CE-CCP1-E04-005,task,,done
CE-CCP1-E04-005,CE-CCP1-E04-006,task,,done
CE-CCP1-E04-006,CE-CCP1-E04-007,task,,done
CE-CCP1-E04-007,CE-CCP1-E04-008,task,,done
CE-CCP1-E04-008,CE-CCP1-E04-009,task,,done
CE-CCP1-E04-009,CE-CCP1-E04-010,task,,done
CE-CCP1-E04-010,CE-CCP1-E04-011,task,,done
CE-CCP1-E04-011,CE-CCP1-E04-012,task,,done
CE-CCP1-E04-012,CE-CCP1-E04-013,task,,done
CE-CCP1-E04-013,CE-CCP1-E04-014,task,,done
CE-CCP1-E04-014,CE-CCP1-E04-015,task,,done
CE-CCP1-E04-015,CE-CCP1-E04-016,task,,done
CE-CCP1-E04-016,CE-CCP1-E04-017,task,,done
CE-CCP1-E04-017,CE-CCP1-E04-018,task,,done
CE-CCP1-E01-016,CE-CCP1-E04-018,checkpoint:CE-CCP1-CP-E01,CE-CCP1-CP-E01,reached
CE-CCP1-E02-018,CE-CCP1-E04-018,checkpoint:CE-CCP1-CP-E02,CE-CCP1-CP-E02,reached
CE-CCP1-E03-018,CE-CCP1-E04-018,checkpoint:CE-CCP1-CP-E03,CE-CCP1-CP-E03,reached
CE-CCP1-M40,CE-CCP1-F01-000,checkpoint:CE-CCP1-MILESTONE-M40,CE-CCP1-MILESTONE-M40,reached
CE-CCP1-M40,CE-CCP1-F01-001,checkpoint:CE-CCP1-MILESTONE-M40,CE-CCP1-MILESTONE-M40,reached
CE-CCP1-F01-001,CE-CCP1-F01-002,task,,done
CE-CCP1-F01-002,CE-CCP1-F01-003,task,,done
CE-CCP1-F01-003,CE-CCP1-F01-004,task,,done
CE-CCP1-F01-004,CE-CCP1-F01-005,task,,done
CE-CCP1-F01-005,CE-CCP1-F01-006,task,,done
CE-CCP1-F01-006,CE-CCP1-F01-007,task,,done
CE-CCP1-F01-007,CE-CCP1-F01-008,task,,done
CE-CCP1-F01-008,CE-CCP1-F01-009,task,,done
CE-CCP1-F01-009,CE-CCP1-F01-010,task,,done
CE-CCP1-F01-010,CE-CCP1-F01-011,task,,done
CE-CCP1-F01-011,CE-CCP1-F01-012,task,,done
CE-CCP1-F01-012,CE-CCP1-F01-013,task,,done
CE-CCP1-F01-013,CE-CCP1-F01-014,task,,done
CE-CCP1-F01-014,CE-CCP1-F01-015,task,,done
CE-CCP1-F01-015,CE-CCP1-F01-016,task,,done
CE-CCP1-F01-016,CE-CCP1-F01-017,task,,done
CE-CCP1-F01-017,CE-CCP1-F01-018,task,,done
CE-CCP1-E04-018,CE-CCP1-F01-018,checkpoint:CE-CCP1-CP-E04,CE-CCP1-CP-E04,reached
CE-CCP1-D01-014,CE-CCP1-F01-018,checkpoint:CE-CCP1-CP-D01,CE-CCP1-CP-D01,reached
CE-CCP1-M10,CE-CCP1-F02-000,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M40,CE-CCP1-F02-000,checkpoint:CE-CCP1-MILESTONE-M40,CE-CCP1-MILESTONE-M40,reached
CE-CCP1-M10,CE-CCP1-F02-001,checkpoint:CE-CCP1-MILESTONE-M10,CE-CCP1-MILESTONE-M10,reached
CE-CCP1-M40,CE-CCP1-F02-001,checkpoint:CE-CCP1-MILESTONE-M40,CE-CCP1-MILESTONE-M40,reached
CE-CCP1-F02-001,CE-CCP1-F02-002,task,,done
CE-CCP1-F02-002,CE-CCP1-F02-003,task,,done
CE-CCP1-F02-003,CE-CCP1-F02-004,task,,done
CE-CCP1-F02-004,CE-CCP1-F02-005,task,,done
CE-CCP1-F02-005,CE-CCP1-F02-006,task,,done
CE-CCP1-F02-006,CE-CCP1-F02-007,task,,done
CE-CCP1-F02-007,CE-CCP1-F02-008,task,,done
CE-CCP1-F02-008,CE-CCP1-F02-009,task,,done
CE-CCP1-F02-009,CE-CCP1-F02-010,task,,done
CE-CCP1-F02-010,CE-CCP1-F02-011,task,,done
CE-CCP1-F02-011,CE-CCP1-F02-012,task,,done
CE-CCP1-F02-012,CE-CCP1-F02-013,task,,done
CE-CCP1-F02-013,CE-CCP1-F02-014,task,,done
CE-CCP1-B02-014,CE-CCP1-F02-014,checkpoint:CE-CCP1-CP-B02,CE-CCP1-CP-B02,reached
CE-CCP1-F01-018,CE-CCP1-F02-014,checkpoint:CE-CCP1-CP-F01,CE-CCP1-CP-F01,reached
CE-CCP1-M40,CE-CCP1-F03-000,checkpoint:CE-CCP1-MILESTONE-M40,CE-CCP1-MILESTONE-M40,reached
CE-CCP1-M40,CE-CCP1-F03-001,checkpoint:CE-CCP1-MILESTONE-M40,CE-CCP1-MILESTONE-M40,reached
CE-CCP1-F03-001,CE-CCP1-F03-002,task,,done
CE-CCP1-F03-002,CE-CCP1-F03-003,task,,done
